organization,project_id,location,location_id,location_buffer_m,longitude,latitude,equipment_make,recording_id,recording_date_time,task_id,aru_task_status,task_duration,task_method,species_code,species_common_name,species_scientific_name,individual_order,tag_id,individual_count,vocalization,detection_time,tag_duration,rms_peak_dbfs,tag_is_verified,tag_rating,observer,observer_user_id,species_individual_comments,task_comments
ABMI,1321,1022-NW,33590,5500,-111.788589,53.676139,Wildlife Acoustics Inc,519828,2015-04-21 00:00:00,482657,Transcribed,60s,None,NONE,NONE,"",,,,,,,,,,505,505,,
ABMI,1321,1022-NW,33590,5500,-111.788589,53.676139,Wildlife Acoustics Inc,519825,2015-04-22 02:00:00,482654,Transcribed,60s,None,NONE,NONE,"",,,,,,,,,,1057,1057,,
ABMI,1321,1022-NW,33590,5500,-111.788589,53.676139,Wildlife Acoustics Inc,519834,2015-04-23 00:00:00,482663,New,60s,None,NONE,NONE,"",,,,,,,,,,2153,2153,,
ABMI,1321,1022-NW,33590,5500,-111.788589,53.676139,Wildlife Acoustics Inc,519829,2015-04-23 02:00:00,482658,Bad Weather,60s,None,NONE,NONE,"",,,,,,,,,,841,841,,
ABMI,1321,1022-NW,33590,5500,-111.788589,53.676139,Wildlife Acoustics Inc,519831,2015-04-24 02:00:00,482660,Bad Weather,60s,None,NONE,NONE,"",,,,,,,,,,1906,1906,,
ABMI,1321,1022-NW,33590,5500,-111.788589,53.676139,Wildlife Acoustics Inc,519838,2015-04-26 00:00:00,482667,Transcribed,60s,None,NONE,NONE,"",,,,,,,,,,1906,1906,,
ABMI,1321,1022-NW,33590,5500,-111.788589,53.676139,Wildlife Acoustics Inc,519836,2015-04-26 02:00:00,482665,Transcribed,60s,None,NONE,NONE,"",,,,,,,,,,877,877,,
ABMI,1321,1022-NW,33590,5500,-111.788589,53.676139,Wildlife Acoustics Inc,519841,2015-04-26 06:43:00,482670,Transcribed,60s,None,NONE,NONE,"",,,,,,,,,,2034,2034,,
ABMI,1321,1022-NW,33590,5500,-111.788589,53.676139,Wildlife Acoustics Inc,519843,2015-04-28 00:00:00,482672,Transcribed,60s,None,NONE,NONE,"",,,,,,,,,,17,17,,
ABMI,1321,1022-NW,33590,5500,-111.788589,53.676139,Wildlife Acoustics Inc,519847,2015-04-30 00:00:00,482676,Transcribed,60s,None,NONE,NONE,"",,,,,,,,,,1170,1170,,
